label,hits
20221201,3924
20221202,3614
20221203,2545
20221204,2109
20221205,3766
20221206,3714
20221207,3900
20221208,3942
20221209,3762
20221210,2917
20221211,2059
20221212,3717
20221213,3374
20221214,3381
20221215,2997
20221216,3691
20221217,2262
20221218,2104
20221219,3476
20221220,3697
20221221,3157
20221222,3230
20221223,3151
20221224,2203
20221225,2125
20221226,3482
20221227,3485
20221228,3349
20221229,3162
20221230,3257
20221231,1438
